Row Number,Company,Position Name,Location,Status,Job Description,Application Link,Number of Applicants,Industry,Salary
855,Oxy,Water Technology Intern (Oil & Gas),Greater Houston,Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/water-technology-intern-oil-gas-at-oxy-3717201729?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=Bm8%2FQm33U8VmiENIebZqPA%3D%3D&position=11&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
856,Lockheed Martin,Engineering High School Intern,"Owego, NY",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/engineering-high-school-intern-at-lockheed-martin-3688405635?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=lYyz6Qo0bPzp1KS3BIc4Xw%3D%3D&position=12&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
857,American Modern Insurance Group,Summer Intern Data Governance,Cincinnati Metropolitan Area,Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/summer-intern-data-governance-at-american-modern-insurance-group-3728886773?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=%2B4FoNa2VtS%2Bk1GFSDUChgQ%3D%3D&position=13&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
858,"Management Science Associates, Inc.",Software Developer I (Intern),"Pittsburgh, PA",2 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/software-developer-i-intern-at-management-science-associates-inc-3725615171?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=spckF0N%2FkM%2BlbMxZ1rdV7w%3D%3D&position=14&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
859,HOOVER-SCHRUM MEMORIAL SD 157,IT Interns (8 Weeks),"Calumet City, IL",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/it-interns-8-weeks-at-hoover-schrum-memorial-sd-157-3681205896?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=ai9dffAuCywKH8m6pj9mGA%3D%3D&position=15&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
860,BioSpace,Undergraduate Intern Biologics Technical Operations,"Oceanside, CA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/undergraduate-intern-biologics-technical-operations-at-biospace-3728791389?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=prii4Rt6GuCqc9ToGFJ1vA%3D%3D&position=16&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
861,Bosch USA,Neuro-symbolic AI Intern,"Pittsburgh, PA",6 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/neuro-symbolic-ai-intern-at-bosch-usa-3581292518?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=lIpkjdmeV%2FzdzIp9IqqG3g%3D%3D&position=17&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
862,NexTier Completion Solutions,IT Analyst Intern,"Houston, TX",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/it-analyst-intern-at-nextier-completion-solutions-3710722974?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=ZrOugTbjOZtpkJYM7VP%2F5Q%3D%3D&position=18&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
863,National Renewable Energy Laboratory,Graduate (Year-Round) Intern - Deep Learning Applied to Customer Energy Profiles,"Golden, CO",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/graduate-year-round-intern-deep-learning-applied-to-customer-energy-profiles-at-national-renewable-energy-laboratory-3661932986?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=ma7%2F5Hxlfy5im2rAC%2BZrfQ%3D%3D&position=19&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
864,Tencent,HR Generalist Intern,"Palo Alto, CA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/hr-generalist-intern-at-tencent-3729055715?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=sZ1Dby8PHW8RTLh7u7VCDQ%3D%3D&position=20&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
865,Fetch,"iOS, Mobile Engineer, Apprenticeship","Chicago, IL",1 month ago,INVALID LINK,https://www.linkedin.com/jobs/view/ios-mobile-engineer-apprenticeship-at-fetch-3689446512?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=6DKTSTNsDCRK2qAl4IkIAQ%3D%3D&position=21&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
866,North Carolina State University,Video & Data Analytics Intern,"Raleigh, NC",Actively Hiring,"Posting Details

Position Information

Posting Number PG193572TM

10MFG05

Temporary



North Carolina State University Men’s Soccer currently competes in the ACC . As a fall sport the normal season runs from August to December, followed by a spring season from January to April. Staffed with Head, Associate, and Assistant Coaches, a Director of Operations and Video Analyst.

Yes

through December 7th, 2023

Department Information

Raleigh, NC



System Information

Temporary-Professional NonFaculty

Video & Data Analytics Intern



Requirements and Preferences

15-20 hours a week





The intern will be working in the data analytic, statistic, video sector of the Men’s Soccer program. The Coaching Staff along with the Director of Operations will provide guidance throughout their internship. The intern will need to be able to quantify data for the staff and players to reflect on to enhance their efforts on and off the field. We also have a partnership with DSA labs and they will also use their software and communicate with their staff to record and analyze data. DSA Labs is a tech company that provides software for the intelligent management of sports data.

Approximate hours of time will be spent in different areas including:





























N/A

No

No



Recruitment Details

Unpaid Internship

Recruitment Dates

05/24/2023

Applicant Information

https://jobs.ncsu.edu/postings/184268



NC State University is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, gender identity, age, sexual orientation, genetic information, status as an individual with a disability, or status as a protected veteran. Individuals with disabilities requiring disability-related accommodations in the application and interview process are welcome to contact 919-515-3148 to speak with a representative at the Office of Institutional Equity and Diversity.

If you have general questions about the application process, you may contact Human Resources at (919) 515-2135 or .

Final candidates are subject to criminal & sex offender background checks. Some vacancies also require credit or motor vehicle checks. Degree(s) must be obtained prior to start date in order to meet qualifications and receive credit.

NC State University participates in E-Verify. Federal law requires all employers to verify the identity and employment eligibility of all persons hired to work in the United States.
Show more",https://www.linkedin.com/jobs/view/video-data-analytics-intern-at-north-carolina-state-university-3615791147?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=S6FUz5LqTdFAohIRSNT9CQ%3D%3D&position=22&pageNum=34&trk=public_jobs_jserp-result_search-card,199,"Industries
Higher Education",0
867,Atrium Health,Student Intern - RP Program,"Charlotte, NC",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/student-intern-rp-program-at-atrium-health-3730018523?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=yLxKX47msGF54LoLJwr3yQ%3D%3D&position=23&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
868,WayUp,"Amway, Data Analytics and Insights Internship - Application via WayUp","Grand Rapids, MI",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/amway-data-analytics-and-insights-internship-application-via-wayup-at-wayup-3714691784?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=wlfdiNGw%2FtPaKbw8njrP%2Fg%3D%3D&position=24&pageNum=34&trk=public_jobs_jserp-result_search-card,,,0
869,ALLY Energy,"TX) Engineering & Internships Technology Summer 2024 (Houston, Career: University Early","Houston, TX",Be an early applicant,"Engineering & Technology University Internships - Summer 2024 Opportunities

May 20th – August 12th, 2024




Energy is one of the most critical issues the world faces and at Baker Hughes we are tackling energy transition head on with all the drive, innovation and technology we are known for. As we shape the future of the energy industry, we believe unique ideas and perspective fuel innovation and our differences make us stronger. The development of energy technology is of utmost importance for a cleaner, greener future. We offer rewarding and exciting internships for students with talent, ambition, and team spirit to help us realize our purpose.

The Baker Hughes Internship is designed to enable students pursuing a Bachelors’ or Masters’ degree to gain hands-on work experience as the foundation of their professional lives. Our internships will give you first-hand insights into the processes, systems, and practices that are aligned to ensure customer needs are met through flawless execution and the application of groundbreaking technology.


You’ll participate in focused training, and team meetings, work on projects, and present your results. During your internship, you will be supported by a buddy and your manager who will ensure you have valuable learning experience. You can expect to receive coaching and mentoring to enable you to complete assignments and projects to develop your technical and interpersonal skills.

You will also have the opportunity to become familiar with the Health, Safety, and Environment (HS&E) and culture of Baker Hughes. As well as our strong commitment to diversity, equity and inclusion.







We recognize that everyone is different and that the way in which people want to work and deliver at their best is different for everyone. In this role, we may be able to offer flexible working patterns. Talk to us about your desired working options when you apply.


Working at Baker Hughes means being at the forefront of the energy transition. Our people are diverse, ambitious, and collaborative. We're on a mission to redefine the energy sector by unlocking the power of engineering, data, and science.

Please ensure you apply as early as possible and no later than to be considered for this role. The final assessment will be held soon after this date and you will be informed if you have been successful in your application soon after this date. If you submit your application after this date, you will still be considered for future assessments.


We are an energy technology company that provides solutions to energy and industrial customers worldwide. Built on a century of experience and conducting business in over 120 countries, our innovative technologies and services are taking energy forward – making it safer, cleaner and more efficient for people and the planet.


Are you seeking an opportunity to make a real difference in a company that values innovation and progress? Join us and become part of a team of people who will challenge and inspire you! Let’s come together and take energy forward.

Baker Hughes Company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
Show more",https://www.linkedin.com/jobs/view/tx-engineering-internships-technology-summer-2024-houston-career-university-early-at-ally-energy-3720942993?refId=FEX9MruYqIgUzKXRQCdt0A%3D%3D&trackingId=y%2F0hofac0zYSVD1x6blVSg%3D%3D&position=25&pageNum=34&trk=public_jobs_jserp-result_search-card,25,"Industries
Technology, Information and Media",0
870,WayUp,"Amway, Data Analytics and Insights Internship - Application via WayUp","Grand Rapids, MI",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/amway-data-analytics-and-insights-internship-application-via-wayup-at-wayup-3714691784?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=T2rAEOYU1Z0ZOoFOyXG41g%3D%3D&position=1&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
871,ALLY Energy,"TX) Engineering & Internships Technology Summer 2024 (Houston, Career: University Early","Houston, TX",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/tx-engineering-internships-technology-summer-2024-houston-career-university-early-at-ally-energy-3720942993?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=0YJajqalnk5nuPuUNso6Sw%3D%3D&position=2&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
872,Straumann Group,Process Improvement Intern,"Vermont, United States",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/process-improvement-intern-at-straumann-group-3725175326?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=OBfYikqwuTwZiMcwK371gQ%3D%3D&position=3&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
873,"fairlife, LLC",Quality Assurance Lab Intern (Summer 2024),"Goodyear, AZ",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/quality-assurance-lab-intern-summer-2024-at-fairlife-llc-3711663139?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=wBWNG%2FwkkXRg45%2FTLfhZCA%3D%3D&position=4&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
874,Reyes Holdings,Intern: Software Developer,"Niles, IL",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/intern-software-developer-at-reyes-holdings-3718209689?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=RbUSrPF5z1zBzOJWBx%2BXng%3D%3D&position=5&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
875,The Hanover Insurance Group,Intern - Risk Engineer (Safety),"Columbia, MD",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/intern-risk-engineer-safety-at-the-hanover-insurance-group-3703529630?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=F0Nr%2BBcairA%2FP5Rv8yHJVw%3D%3D&position=6&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
876,Bosch USA,Cyber Security SW Development Intern (6 month minimum)- ETAS,"Plymouth, MI",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/cyber-security-sw-development-intern-6-month-minimum-etas-at-bosch-usa-3719159654?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=oOP3FHT1BXs8PhVS%2BaL3uw%3D%3D&position=7&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
877,Brooks Running,Run Research – Run Performance Intern - January 2024,"Seattle, WA",2 weeks ago,"Who We Are

At Brooks, we believe a run can change a day, a life, the world. Everyone who works here is a key part of our obsession to make the best running gear on the planet. We want our business — which also happens to be our passion — to be a place where everyone feels welcome and comfortable being themselves. Our company culture defines us, bonds us together, and drives our success. We live this culture daily through our brand values: Runner First, Word is Bond, Champion Heart, There is no “I” in Run, and Keep Moving. This means we always solve for the runner, do what we say we will, give it our all, are generous with our humanity, and find a way to keep moving every day, because joy is kinetic.

Are you ready to help create something extraordinary?



Brooks Running hosts internships at our Seattle HQ offices to provide hands-on, meaningful work experience to further enhance your education and professional aptitude. Our interns gain exposure to real work, and projects while working side by side with Brooks employees and leadership. If chosen for this role, you will embark on 6 months of learning, professional development, and exposure to the Brooks brand and culture.


Duration: 6 months

Internship Target Start: January 8, 2024

Compensation: $32.00/hr.

Location: Seattle, HQ

Schedule: 40 hours / week

Please apply if you can commit to the duration, salary and location for this opportunities.


The mission of the Run Research Team is to create and leverage novel, scientific concepts and runner-driven product performance insights to create amazing products to help everyone run their path.

Our Run Research Team is a seeking a Masters graduate intern to work at our Seattle HQ offices. As a Run Research performance Intern, you will gain hands-on experience in product research at the leading running brand – Brooks Sports, Inc. Your primary responsibilities will be to assist in biomechanical data collection and processing for Run Research that will be used to inform product design, materials and development.

The protocols will include but are not limited to motion capture, material mechanical properties and metabolic testing. This information is critical for our multi-departmental infrastructure, including Development, Design, and Merchandising, to ensure that performance integrity of our product meets the needs of our end consumers. You will also gain knowledge on how the human movement influences design and development of athletic products at Brooks.








Paid Internship

Starting Pay to provide financial support before first paycheck

Housing Subsidy

Travel Fee Coverage

Medical/Dental/Vision Coverage

60% Employee Discount

Paid Holidays


$32/hour

Show more",https://www.linkedin.com/jobs/view/run-research-%E2%80%93-run-performance-intern-january-2024-at-brooks-running-3725702202?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=nXNL29QVbfGxeTCM6A5xwg%3D%3D&position=8&pageNum=35&trk=public_jobs_jserp-result_search-card,38,"Industries
Sporting Goods Manufacturing",32
878,HOOVER-SCHRUM MEMORIAL SD 157,IT Interns (8 Weeks),"Calumet City, IL",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/it-interns-8-weeks-at-hoover-schrum-memorial-sd-157-3681205896?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=QIklHn%2BDLC2oq1YV0nZC2A%3D%3D&position=9&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
879,Lockheed Martin,Supply Chain Intern,"Liverpool, NY",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/supply-chain-intern-at-lockheed-martin-3729080770?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=wO1I5C9Hf3eilNaoPRhgCg%3D%3D&position=10&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
880,Live Oak Bank,Summer 2024 Data Engineering Intern,"Wilmington, NC",Be an early applicant,"About Us

Live Oak Bank is a digital bank that serves small business owners across the country. Our groundbreaking spin on service and technology has fueled our mission to be America’s Small Business Bank. Our products help customers buy, build, and expand their business, and our high-yield savings and CD products help them grow their hard-earned money. At Live Oak, we never lose sight of the well-being of our people. We believe our employees are the heart of our company. Our commitment to our customers and culture is intertwined, and we seek those who embody and embrace what it takes to empower the American dream.


The Data Engineer Intern will help drive strategic decisions at Live Oak Bank by working with the Data Platform team to provide clean, well-organized data that supports analytics, reporting, and machine learning processes. Daily activities will include helping to define and then produce structured and standardized data sets that drive customer engagement and bring Live Oak’s mission to “Treat Every Customer Like The Only Customer” to life through analytics and reporting that informs next best actions.






Required:


Preferred:




For a detailed overview of our employee benefits please visit:

Show more",https://www.linkedin.com/jobs/view/summer-2024-data-engineering-intern-at-live-oak-bank-3729718598?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=jkJghwTSiutyBMSn2bc7pg%3D%3D&position=11&pageNum=35&trk=public_jobs_jserp-result_search-card,25,"Industries
Banking",0
881,Alvarez & Marsal,Intern - Global Transaction Analytics (GTA),"Greenwood Village, CO",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/intern-global-transaction-analytics-gta-at-alvarez-marsal-3710269700?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=zjOcrGLM2G0zbIj1MB%2FPEA%3D%3D&position=12&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
882,Pacific Defense,Pacific Defense Internship Opportunities - USC,"El Segundo, CA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/pacific-defense-internship-opportunities-usc-at-pacific-defense-3725720837?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=wgbuXFzrOZ1hRYQ72d%2FPUg%3D%3D&position=13&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
883,Truckee Meadows Water Authority,Engineering- Student Employee,"Reno, NV",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/engineering-student-employee-at-truckee-meadows-water-authority-3716546533?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=%2F2ZhTNlQdvVi6ExFgpr62w%3D%3D&position=14&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
884,Kite Pharma,"Undergraduate Intern, Portfolio and Project Management","Santa Monica, CA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/undergraduate-intern-portfolio-and-project-management-at-kite-pharma-3732354147?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=vquzPe53yZpzVr08atYq4Q%3D%3D&position=15&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
885,WayUp,"Amway, Data Analyst Intern - Application via WayUp","Grand Rapids, MI",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/amway-data-analyst-intern-application-via-wayup-at-wayup-3714692611?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=mvhHkuZAC%2FQyfHkD4qsB0g%3D%3D&position=16&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
886,Straumann Group,Process Improvement Intern,"Delaware, United States",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/process-improvement-intern-at-straumann-group-3725174471?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=Bvfqz8pnRg1VaUZk1dESLg%3D%3D&position=17&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
887,Bridgeway Benefit Technologies,"Engineering Intern (Paid, Part-Time)","Baltimore, MD",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/engineering-intern-paid-part-time-at-bridgeway-benefit-technologies-3697382463?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=C3g8OWkBnM%2FEQcXiF0rRJg%3D%3D&position=18&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
888,POET,Mechanical and Milling Engineering Intern,"Sioux Falls, SD",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/mechanical-and-milling-engineering-intern-at-poet-3712185017?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=r5qbj%2BgtJo67kDkaKTdfcQ%3D%3D&position=19&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
889,Eulerity,Marketing Design Intern,"Scottsdale, AZ",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/marketing-design-intern-at-eulerity-3692587243?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=fSkIj6IVnPp5mAIDukQn8g%3D%3D&position=20&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
890,Zions Bancorporation,"Intern- Business Analyst, Enterprise Data Governance","Salt Lake City, UT",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/intern-business-analyst-enterprise-data-governance-at-zions-bancorporation-3734107188?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=%2Fpi09jl6MgcgeZp22QGDfg%3D%3D&position=21&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
891,The Johns Hopkins University Applied Physics Laboratory,2024 Internship - Engineer/Scientist - Health Systems and Human-Machine Systems,"Laurel, MD",3 days ago,INVALID LINK,https://www.linkedin.com/jobs/view/2024-internship-engineer-scientist-health-systems-and-human-machine-systems-at-the-johns-hopkins-university-applied-physics-laboratory-3720986774?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=1K8XBXN0GpeomQxZnvJeTA%3D%3D&position=22&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
892,WayUp,"Barclays, Quantitative Analytics Associate Internship Program 2024 New York - Application via WayUp","New York, NY",1 week ago,INVALID LINK,https://www.linkedin.com/jobs/view/barclays-quantitative-analytics-associate-internship-program-2024-new-york-application-via-wayup-at-wayup-3728275321?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=%2FjwZ4ekeFPmhriVMpGvqNg%3D%3D&position=23&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
893,"Integrity Management Services, Inc.",Emory University Student Internship: Managed Care Public Health Analyst,"Alexandria, VA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/emory-university-student-internship-managed-care-public-health-analyst-at-integrity-management-services-inc-3719621143?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=IChAH%2FX9FbGAJjHBJq4Ehg%3D%3D&position=24&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
894,Zions Bancorporation,"Intern- Business Analyst, Enterprise Data Governance","Salt Lake City, UT",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/intern-business-analyst-enterprise-data-governance-at-zions-bancorporation-3734102757?refId=KZoJZwKX521qeZH3Ey9Srg%3D%3D&trackingId=p0BNXq94%2Fk5OWQoyDkZcaw%3D%3D&position=25&pageNum=35&trk=public_jobs_jserp-result_search-card,,,0
895,Penn State University,Research and Development Engineering Intern,"University Park, PA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/research-and-development-engineering-intern-at-penn-state-university-3684850091?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=5mg3YmJ7CO8YUNbeGKO6TA%3D%3D&position=1&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
896,MillerKnoll,Direct Supply Management Intern,"Michigan, United States",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/direct-supply-management-intern-at-millerknoll-3719947649?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=ZFQRVlESnDHWdPhMSPkIQQ%3D%3D&position=2&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
897,The Hartford,"Intern, Tech, Data, Analytics, Cyber, and Operations Leadership Development Program","Hartford, CT",1 month ago,INVALID LINK,https://www.linkedin.com/jobs/view/intern-tech-data-analytics-cyber-and-operations-leadership-development-program-at-the-hartford-3694287629?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=RDkfg4a4PeFUB32QDxB6Ww%3D%3D&position=3&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
898,"St. Luke's Duluth, MN",Student Intern - Wilderness Health,"Duluth, MN",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/student-intern-wilderness-health-at-st-luke-s-duluth-mn-3726205783?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=d%2BVe%2BH5MV2Fl3GyfjG8zww%3D%3D&position=4&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
899,Fetch,"Backend Engineering, Apprenticeship","Birmingham, AL",2 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/backend-engineering-apprenticeship-at-fetch-3690979343?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=kkJ2NDk6E%2F0hy2F7SwNT5g%3D%3D&position=5&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
900,BioSpace,"Intern - US Medical Affairs, HIV","Foster City, CA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/intern-us-medical-affairs-hiv-at-biospace-3728786911?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=acXOOFGOIvdkFyOHG6o7Wg%3D%3D&position=6&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
901,Bosch USA,Internship - Powertrain Simulation & Analysis - January or May 2024 - 6 months,"Farmington Hills, MI",2 days ago,INVALID LINK,https://www.linkedin.com/jobs/view/internship-powertrain-simulation-analysis-january-or-may-2024-6-months-at-bosch-usa-3733191690?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=SXK40Zullrny9S3HidOSgQ%3D%3D&position=7&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
902,"Science Systems and Applications, Inc (SSAI)",Software Development Intern,"Lanham, MD",1 month ago,"Science Systems and Applications is seeking a software development intern to create a web-based tool for exploring diagnostics produced by Earth system modeling experiment runs. Intern will lead the design and development of an intuitive dashboard using responsive bokeh plots generated by an in-house experiment workflow. Bokeh graph components and other metadata will be stored in a PostgreSQL database. Intern will be responsible for developing a robust Django backend to retrieve and display information from the database.









While performing the duties of this job, the employee is regularly required to stand, walk, and use hands to touch, handle or feel objects, tools or controls. The employee frequently is required to talk and hear and occasionally required to reach with hands and arms and stoop, kneel, crouch, or crawl. Must regularly lift and/or move up to 10 pounds, and occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision, peripheral vision, depth perception and the ability to adjust focus.
Show more",https://www.linkedin.com/jobs/view/software-development-intern-at-science-systems-and-applications-inc-ssai-3712634503?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=aO2fR0o2n4AkJJkAjWxnxQ%3D%3D&position=8&pageNum=36&trk=public_jobs_jserp-result_search-card,72,"Industries
Defense and Space Manufacturing",0
903,ecocareers,"Boeing Summer 2024 Internship Program (Paid) - Environment, Health, and Safety (EHS) and Sustainability","North Charleston, SC",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/boeing-summer-2024-internship-program-paid-environment-health-and-safety-ehs-and-sustainability-at-ecocareers-3735121846?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=9d2jAUCReKJW%2B17G%2FJDweg%3D%3D&position=9&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
904,Centers for Disease Control and Prevention,Training and Education Specialist,"Indiana, United States",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/training-and-education-specialist-at-centers-for-disease-control-and-prevention-3735207788?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=TmsP40IbiPqzGguB%2F6mOGA%3D%3D&position=10&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
905,Charter Dura-Bar,BI&A Intern (Year-Round),"Woodstock, IL",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/bi-a-intern-year-round-at-charter-dura-bar-3681488677?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=euTOSuyERDd72qWAp5DAxg%3D%3D&position=11&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
